transcript_id	description
XM_031551603.1	 uncharacterized LOC116215829
XM_031551604.1	" pentatricopeptide repeat-containing protein At3g63370, chloroplastic"
XM_031551605.1	" cationic amino acid transporter 7, chloroplastic-like"
XM_031551606.1	" RPM1-interacting protein 4-like, transcript variant X1"
XM_031551607.1	" RPM1-interacting protein 4-like, transcript variant X2"
XM_031551608.1	" RPM1-interacting protein 4-like, transcript variant X3"
XM_031551609.1	 probable membrane-associated kinase regulator 4
XM_031551610.1	 40S ribosomal protein S15a-5-like
XM_031551611.1	" uncharacterized LOC116215818, transcript variant X3"
XM_031551612.1	" protein ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic, transcript variant X1"
XM_031551613.1	" protein ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic, transcript variant X2"
XM_031551614.1	" protein ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic, transcript variant X3"
XM_031551615.1	" protein ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic, transcript variant X4"
XM_031551616.1	 heme chaperone HemW
XM_031551617.1	 F-box/LRR-repeat protein At3g26922
XM_031551618.1	" uncharacterized LOC116215838, transcript variant X1"
XM_031551619.1	" uncharacterized LOC116215838, transcript variant X2"
XM_031551620.1	" uncharacterized LOC116215818, transcript variant X4"
XM_031551621.1	" uncharacterized LOC116215838, transcript variant X3"
XM_031551622.1	 auxin response factor 19-like
XM_031551623.1	" 20 kDa chaperonin, chloroplastic-like, transcript variant X1"
XM_031551624.1	" 20 kDa chaperonin, chloroplastic-like, transcript variant X2"
XM_031551625.1	 ethylene-responsive transcription factor ERF018-like
XM_031551626.1	" uncharacterized LOC116215843, transcript variant X1"
XM_031551627.1	 expansin-A11
XM_031551628.1	" uncharacterized LOC116215818, transcript variant X5"
XM_031551629.1	" uncharacterized LOC116215843, transcript variant X2"
XM_031551630.1	" protein OVEREXPRESSOR OF CATIONIC PEROXIDASE 3, transcript variant X1"
XM_031551631.1	" protein OVEREXPRESSOR OF CATIONIC PEROXIDASE 3, transcript variant X2"
XM_031551632.1	 transcription factor MYB123-like
XM_031551633.1	" transmembrane emp24 domain-containing protein p24delta5-like, transcript variant X1"
XM_031551634.1	" transmembrane emp24 domain-containing protein p24delta5-like, transcript variant X2"
XM_031551635.1	" exosome complex exonuclease RRP46 homolog, transcript variant X1"
XM_031551636.1	" uncharacterized LOC116215818, transcript variant X6"
XM_031551637.1	" exosome complex exonuclease RRP46 homolog, transcript variant X2"
XM_031551638.1	" gibberellin 3-beta-dioxygenase 1-like, transcript variant X1"
XM_031551639.1	" gibberellin 3-beta-dioxygenase 1-like, transcript variant X2"
XM_031551640.1	" gibberellin 3-beta-dioxygenase 1-like, transcript variant X3"
XM_031551641.1	 ras-related protein RABC1-like
XM_031551642.1	 probable LRR receptor-like serine/threonine-protein kinase At3g47570
XM_031551643.1	 plant UBX domain-containing protein 10-like
XM_031551644.1	" uncharacterized LOC116215818, transcript variant X7"
XM_031551645.1	 TORTIFOLIA1-like protein 2
XM_031551646.1	 lupeol synthase-like
XM_031551647.1	" probable serine/threonine-protein kinase PBL17, transcript variant X1"
XM_031551648.1	" probable serine/threonine-protein kinase PBL17, transcript variant X2"
XM_031551649.1	" probable serine/threonine-protein kinase PBL17, transcript variant X3"
XM_031551650.1	" probable serine/threonine-protein kinase PBL17, transcript variant X4"
XM_031551651.1	" probable serine/threonine-protein kinase PBL17, transcript variant X5"
XM_031551652.1	 prefoldin subunit 1
XM_031551653.1	" uncharacterized LOC116215818, transcript variant X8"
XM_031551654.1	 FCS-Like Zinc finger 6-like
XM_031551655.1	 probable LRR receptor-like serine/threonine-protein kinase At3g47570
XM_031551656.1	" thioredoxin Y1, chloroplastic"
XM_031551657.1	" lycopene epsilon cyclase, chloroplastic"
XM_031551658.1	 EG45-like domain containing protein
XM_031551659.1	" heavy metal-associated isoprenylated plant protein 24-like, transcript variant X1"
XM_031551660.1	" heavy metal-associated isoprenylated plant protein 24-like, transcript variant X2"
XM_031551661.1	" uncharacterized LOC116215818, transcript variant X9"
XM_031551662.1	" heavy metal-associated isoprenylated plant protein 24-like, transcript variant X3"
XM_031551663.1	" nifU-like protein 3, chloroplastic, transcript variant X1"
XM_031551664.1	" nifU-like protein 3, chloroplastic, transcript variant X2"
XM_031551665.1	 60S ribosomal protein L18a
XM_031551666.1	 S-protein homolog 5-like
XM_031551667.1	 indole-3-pyruvate monooxygenase YUCCA6
XM_031551668.1	 uncharacterized LOC116215870
XM_031551669.1	 probable 2-oxoglutarate-dependent dioxygenase AOP1
XM_031551670.1	" EG45-like domain containing protein, transcript variant X1"
XM_031551671.1	" EG45-like domain containing protein, transcript variant X2"
XM_031551672.1	" EG45-like domain containing protein, transcript variant X3"
XM_031551673.1	" EG45-like domain containing protein, transcript variant X5"
XM_031551674.1	" EG45-like domain containing protein, transcript variant X6"
XM_031551675.1	" EG45-like domain containing protein, transcript variant X7"
XM_031551676.1	" EG45-like domain containing protein, transcript variant X8"
XM_031551677.1	" EG45-like domain containing protein, transcript variant X9"
XM_031551678.1	" EG45-like domain containing protein, transcript variant X10"
XM_031551679.1	 uncharacterized LOC116215876
XM_031551680.1	" myosin-2, transcript variant X1"
XM_031551681.1	" histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1-like"
XM_031551682.1	 uncharacterized LOC116215878
XM_031551683.1	 co-chaperone protein p23-1-like
XM_031551684.1	 potassium channel KAT3
XM_031551685.1	 uncharacterized LOC116215881
XM_031551686.1	 probable magnesium transporter NIPA9
XM_031551687.1	 2-hydroxymuconate semialdehyde hydrolase
XM_031551688.1	" myosin-2, transcript variant X2"
XM_031551689.1	" myosin-15, transcript variant X1"
XM_031551690.1	" myosin-15, transcript variant X2"
XM_031551691.1	" guanine nucleotide-binding protein alpha-1 subunit, transcript variant X1"
XM_031551692.1	" guanine nucleotide-binding protein alpha-1 subunit, transcript variant X2"
XM_031551693.1	" uncharacterized LOC116215886, transcript variant X1"
XM_031551694.1	" uncharacterized LOC116215886, transcript variant X2"
XM_031551695.1	" uncharacterized LOC116215886, transcript variant X3"
XM_031551696.1	" uncharacterized LOC116215886, transcript variant X4"
XM_031551697.1	" uncharacterized LOC116215888, transcript variant X1"
XM_031551698.1	" uncharacterized LOC116215888, transcript variant X2"
XM_031551699.1	 MATH domain and coiled-coil domain-containing protein At3g58260-like
XM_031551700.1	 protein indeterminate-domain 12-like
XM_031551701.1	 receptor-like protein kinase THESEUS 1
XM_031551702.1	 N-terminal acetyltransferase B complex catalytic subunit NAA20
XM_031551703.1	" pentatricopeptide repeat-containing protein At4g32450, mitochondrial-like, transcript variant X2"
XM_031551704.1	 putative uridine kinase C227.14
XM_031551705.1	" probable beta-1,3-galactosyltransferase 12"
XM_031551706.1	 carbon catabolite repressor protein 4 homolog 3
XM_031551707.1	 probable aspartic proteinase GIP2
XM_031551708.1	" tRNase Z TRZ1, transcript variant X1"
XM_031551709.1	" tRNase Z TRZ1, transcript variant X2"
XM_031551710.1	 auxin efflux carrier component 6
XM_031551711.1	 L-ascorbate oxidase homolog
XM_031551712.1	 gamma-glutamylcyclotransferase 2-3
XM_031551713.1	 PHD finger-like domain-containing protein 5B
XM_031551714.1	 uncharacterized LOC116215905
XM_031551715.1	" uncharacterized LOC116215907, transcript variant X1"
XM_031551716.1	" uncharacterized LOC116215907, transcript variant X2"
XM_031551717.1	 two-component response regulator ORR4-like
XM_031551718.1	" immediate early response 3-interacting protein 1-like, transcript variant X1"
XM_031551719.1	" immediate early response 3-interacting protein 1-like, transcript variant X2"
XM_031551720.1	 VAN3-binding protein-like
XM_031551721.1	" ADP-ribosylation factor GTPase-activating protein AGD5, transcript variant X1"
XM_031551722.1	 protein LIFEGUARD 4-like
XM_031551723.1	" DExH-box ATP-dependent RNA helicase DExH15 chloroplastic-like, transcript variant X1"
XM_031551724.1	" DExH-box ATP-dependent RNA helicase DExH15 chloroplastic-like, transcript variant X2"
XM_031551725.1	" chlorophyll a-b binding protein 6A, chloroplastic"
XM_031551726.1	 transcription factor MYB1R1-like
XM_031551727.1	" transcription factor bHLH79-like, transcript variant X1"
XM_031551728.1	" transcription factor bHLH79-like, transcript variant X2"
XM_031551729.1	" transcription factor bHLH79-like, transcript variant X3"
XM_031551730.1	" ADP-ribosylation factor GTPase-activating protein AGD5, transcript variant X2"
XM_031551731.1	" transcription factor bHLH79-like, transcript variant X4"
XM_031551732.1	" transcription factor bHLH79-like, transcript variant X6"
XM_031551733.1	" 5-formyltetrahydrofolate cyclo-ligase, mitochondrial"
XM_031551734.1	 uncharacterized LOC116215918
XM_031551735.1	 uncharacterized LOC116215919
XM_031551736.1	 60S ribosomal protein L10a-like
XM_031551737.1	 small nuclear ribonucleoprotein E-like
XM_031551738.1	 protein POLAR-like 1
XM_031551739.1	 protein POLAR-like 1
XM_031551740.1	 basic leucine zipper 43-like
XM_031551742.1	 uncharacterized LOC116215926
XM_031551743.1	" CDT1-like protein a, chloroplastic"
XM_031551744.1	 phosphatidylinositol-3-phosphatase myotubularin-1-like
XM_031551745.1	" adenine phosphoribosyltransferase 3-like, transcript variant X1"
XM_031551746.1	" dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial, transcript variant X1"
XM_031551747.1	" dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial, transcript variant X2"
XM_031551748.1	" uncharacterized LOC116215930, transcript variant X1"
XM_031551749.1	" uncharacterized LOC116215930, transcript variant X2"
XM_031551750.1	" uncharacterized LOC116215930, transcript variant X3"
XM_031551751.1	" uncharacterized LOC116215930, transcript variant X5"
XM_031551752.1	 3-phosphoinositide-dependent protein kinase 2-like
XM_031551753.1	" uncharacterized LOC116215933, transcript variant X1"
XM_031551754.1	 uncharacterized LOC116215931
XM_031551755.1	" uncharacterized LOC116215933, transcript variant X2"
XM_031551756.1	 putative DNA glycosylase At3g47830
XM_031551757.1	" sucrose synthase 6, transcript variant X1"
XM_031551758.1	" sucrose synthase 6, transcript variant X2"
XM_031551759.1	" agamous-like MADS-box protein MADS3, transcript variant X1"
XM_031551760.1	" agamous-like MADS-box protein MADS3, transcript variant X2"
XM_031551761.1	" agamous-like MADS-box protein MADS3, transcript variant X3"
XM_031551762.1	" agamous-like MADS-box protein MADS3, transcript variant X4"
XM_031551763.1	" agamous-like MADS-box protein MADS3, transcript variant X5"
XM_031551764.1	" agamous-like MADS-box protein MADS2, transcript variant X1"
XM_031551765.1	" agamous-like MADS-box protein MADS2, transcript variant X2"
XM_031551766.1	 CLAVATA3/ESR (CLE)-related protein TDIF-like
XM_031551767.1	 PAP-specific phosphatase HAL2-like
XM_031551768.1	 histone H2A variant 1
XM_031551769.1	 zinc finger protein ZAT4-like
XM_031551770.1	" cyclin-A2-1-like, transcript variant X1"
XM_031551771.1	" cyclin-A2-1-like, transcript variant X2"
XM_031551772.1	" uncharacterized LOC116215944, transcript variant X1"
XM_031551773.1	" uncharacterized LOC116215944, transcript variant X2"
XM_031551774.1	 probable pectate lyase 18
XM_031551775.1	 uncharacterized LOC116215947
XM_031551776.1	" transketolase, chloroplastic-like"
XM_031551777.1	 mitochondrial import inner membrane translocase subunit TIM22-4-like
XM_031551778.1	" cytochrome c-type biogenesis ccda-like chloroplastic protein, transcript variant X1"
XM_031551779.1	 uncharacterized LOC116215950
XM_031551780.1	" putative disease resistance protein RGA1, transcript variant X1"
XM_031551781.1	" putative disease resistance protein RGA1, transcript variant X2"
XM_031551782.1	" putative disease resistance protein RGA1, transcript variant X3"
XM_031551783.1	" putative disease resistance protein RGA1, transcript variant X4"
XM_031551784.1	" putative disease resistance protein RGA1, transcript variant X5"
XM_031551785.1	" putative disease resistance protein RGA1, transcript variant X6"
XM_031551786.1	" putative disease resistance protein RGA1, transcript variant X7"
XM_031551787.1	" putative disease resistance protein RGA1, transcript variant X8"
XM_031551788.1	" putative disease resistance protein RGA1, transcript variant X9"
XM_031551789.1	" cytochrome c-type biogenesis ccda-like chloroplastic protein, transcript variant X2"
XM_031551790.1	" putative disease resistance protein RGA1, transcript variant X10"
XM_031551791.1	 putative disease resistance protein RGA4
XM_031551792.1	" uncharacterized LOC116215953, transcript variant X1"
XM_031551793.1	" uncharacterized LOC116215953, transcript variant X2"
XM_031551794.1	" uncharacterized LOC116215953, transcript variant X4"
XM_031551795.1	" uncharacterized LOC116215953, transcript variant X5"
XM_031551796.1	 putative disease resistance protein RGA3
XM_031551797.1	" cytochrome c-type biogenesis ccda-like chloroplastic protein, transcript variant X3"
XM_031551798.1	" uncharacterized LOC116215955, transcript variant X1"
XM_031551799.1	" uncharacterized LOC116215955, transcript variant X2"
XM_031551800.1	 nuclear transcription factor Y subunit B-2-like
XM_031551801.1	 autophagy-related protein 18a-like
XM_031551802.1	" uncharacterized LOC116215959, transcript variant X1"
XM_031551803.1	" uncharacterized LOC116215959, transcript variant X2"
XM_031551804.1	" uncharacterized LOC116215959, transcript variant X3"
XM_031551805.1	" cytochrome c-type biogenesis ccda-like chloroplastic protein, transcript variant X4"
XM_031551806.1	 glutathione S-transferase F13
XM_031551807.1	 glutathione S-transferase F13-like
XM_031551808.1	 glutathione S-transferase F13-like
XM_031551809.1	 heavy metal-associated isoprenylated plant protein 36-like
XM_031551810.1	 desiccation-related protein PCC13-62-like
XM_031551811.1	" cytochrome c-type biogenesis ccda-like chloroplastic protein, transcript variant X5"
XM_031551812.1	 desiccation-related protein PCC13-62-like
XM_031551813.1	 desiccation-related protein PCC13-62-like
XM_031551814.1	 organic cation/carnitine transporter 3-like
XM_031551815.1	" ent-kaur-16-ene synthase, chloroplastic, transcript variant X1"
XM_031551816.1	" ent-kaur-16-ene synthase, chloroplastic, transcript variant X2"
XM_031551817.1	" ent-kaur-16-ene synthase, chloroplastic, transcript variant X3"
XM_031551818.1	" ent-kaur-16-ene synthase, chloroplastic, transcript variant X4"
XM_031551819.1	 uncharacterized LOC116215975
XM_031551820.1	" E3 ubiquitin-protein ligase RGLG4, transcript variant X1"
XM_031551821.1	" E3 ubiquitin-protein ligase RGLG4, transcript variant X2"
XM_031551822.1	 ribosomal RNA large subunit methyltransferase I
XM_031551823.1	" adenine phosphoribosyltransferase 3-like, transcript variant X2"
XM_031551824.1	" putative indole-3-acetic acid-amido synthetase GH3.9, transcript variant X1"
XM_031551825.1	" putative indole-3-acetic acid-amido synthetase GH3.9, transcript variant X2"
XM_031551826.1	" ABC transporter C family member 4, transcript variant X1"
XM_031551827.1	" ABC transporter C family member 4, transcript variant X2"
XM_031551828.1	" ABC transporter C family member 4, transcript variant X3"
XM_031551829.1	" ABC transporter C family member 4, transcript variant X4"
XM_031551830.1	" putative disease resistance protein RGA4, transcript variant X1"
XM_031551831.1	" putative disease resistance protein RGA4, transcript variant X2"
XM_031551832.1	" chlorophyll a-b binding protein 13, chloroplastic"
XM_031551833.1	" putative disease resistance protein RGA4, transcript variant X3"
XM_031551834.1	" putative disease resistance protein RGA4, transcript variant X4"
XM_031551835.1	" putative disease resistance protein RGA4, transcript variant X5"
XM_031551836.1	" putative disease resistance protein RGA4, transcript variant X6"
XM_031551837.1	" putative disease resistance protein RGA4, transcript variant X7"
XM_031551838.1	" putative disease resistance protein RGA4, transcript variant X8"
XM_031551839.1	" putative disease resistance protein RGA4, transcript variant X9"
XM_031551840.1	" putative disease resistance protein RGA4, transcript variant X10"
XM_031551841.1	" putative disease resistance protein RGA4, transcript variant X11"
XM_031551842.1	" putative disease resistance protein RGA4, transcript variant X12"
XM_031551843.1	" putative disease resistance protein RGA4, transcript variant X13"
XM_031551844.1	" putative disease resistance protein RGA4, transcript variant X14"
XM_031551845.1	" putative disease resistance protein RGA4, transcript variant X15"
XM_031551846.1	" DExH-box ATP-dependent RNA helicase DExH8, transcript variant X1"
XM_031551847.1	" DExH-box ATP-dependent RNA helicase DExH8, transcript variant X2"
XM_031551848.1	" phytohormone-binding protein-like, transcript variant X1"
XM_031551849.1	" DExH-box ATP-dependent RNA helicase DExH8, transcript variant X3"
XM_031551850.1	 DNA mismatch repair protein PMS1
XM_031551851.1	 putative disease resistance protein RGA4
XM_031551852.1	 beta-glucosidase 11-like
XM_031551853.1	 xyloglucan 6-xylosyltransferase 2
XM_031551854.1	 WD repeat-containing protein GTS1
XM_031551855.1	" phytohormone-binding protein-like, transcript variant X2"
XM_031551856.1	 syntaxin-related protein KNOLLE
XM_031551857.1	" serine/arginine-rich-splicing factor SR34-like, transcript variant X1"
XM_031551858.1	" serine/arginine-rich-splicing factor SR34-like, transcript variant X2"
XM_031551859.1	" serine/arginine-rich-splicing factor SR34-like, transcript variant X3"
XM_031551860.1	 stress-related protein
XM_031551861.1	 uncharacterized protein OsI_027940
XM_031551862.1	 universal stress protein PHOS34-like
XM_031551863.1	 universal stress protein PHOS34-like
XM_031551864.1	 probable U6 snRNA-associated Sm-like protein LSm4
XM_031551865.1	 uncharacterized LOC116215995
XM_031551866.1	 universal stress protein PHOS34-like
XM_031551867.1	 protein RALF-like 1
XM_031551868.1	" putative disease resistance protein RGA3, transcript variant X1"
XM_031551869.1	" putative disease resistance protein RGA3, transcript variant X2"
XM_031551870.1	" putative disease resistance protein RGA3, transcript variant X3"
XM_031551871.1	" putative disease resistance protein RGA3, transcript variant X4"
XM_031551872.1	" putative disease resistance protein RGA3, transcript variant X5"
XM_031551873.1	" putative disease resistance protein RGA3, transcript variant X6"
XM_031551874.1	" putative disease resistance protein RGA3, transcript variant X7"
XM_031551875.1	" putative disease resistance protein RGA3, transcript variant X8"
XM_031551876.1	" putative disease resistance protein RGA3, transcript variant X9"
XM_031551877.1	" putative disease resistance protein RGA3, transcript variant X10"
XM_031551878.1	" putative disease resistance protein RGA3, transcript variant X11"
XM_031551879.1	" putative disease resistance protein RGA3, transcript variant X12"
XM_031551880.1	" putative disease resistance protein RGA3, transcript variant X13"
XM_031551881.1	" putative disease resistance protein RGA3, transcript variant X14"
XM_031551882.1	" putative disease resistance protein RGA3, transcript variant X15"
XM_031551883.1	" putative disease resistance protein RGA3, transcript variant X16"
XM_031551884.1	" putative disease resistance protein RGA3, transcript variant X17"
XM_031551885.1	" uncharacterized LOC116216005, transcript variant X1"
XM_031551886.1	" peter Pan-like protein, transcript variant X1"
XM_031551887.1	" peter Pan-like protein, transcript variant X2"
XM_031551888.1	" mitochondrial zinc maintenance protein 1, mitochondrial-like"
XM_031551889.1	" chaperone protein dnaJ 49, transcript variant X1"
XM_031551890.1	 protein NRT1/ PTR FAMILY 5.2-like
XM_031551891.1	 alpha-glucosidase
XM_031551892.1	" RRP15-like protein, transcript variant X1"
XM_031551893.1	" RRP15-like protein, transcript variant X2"
XM_031551894.1	" magnesium/proton exchanger 1, transcript variant X1"
XM_031551895.1	" magnesium/proton exchanger 1, transcript variant X2"
XM_031551896.1	" magnesium/proton exchanger 1, transcript variant X3"
XM_031551897.1	" blue-light photoreceptor PHR2-like, transcript variant X1"
XM_031551898.1	" chaperone protein dnaJ 49, transcript variant X2"
XM_031551899.1	" blue-light photoreceptor PHR2-like, transcript variant X2"
XM_031551900.1	" putative disease resistance protein RGA1, transcript variant X1"
XM_031551901.1	" putative disease resistance protein RGA1, transcript variant X2"
XM_031551902.1	" putative disease resistance protein RGA1, transcript variant X3"
XM_031551903.1	" putative disease resistance protein RGA1, transcript variant X4"
XM_031551904.1	" putative disease resistance protein RGA1, transcript variant X5"
XM_031551905.1	" putative disease resistance protein RGA1, transcript variant X6"
XM_031551906.1	" putative disease resistance protein RGA1, transcript variant X7"
XM_031551907.1	" putative disease resistance protein RGA1, transcript variant X8"
XM_031551908.1	" putative disease resistance protein RGA1, transcript variant X9"
XM_031551909.1	" adenine phosphoribosyltransferase 3-like, transcript variant X3"
XM_031551910.1	" chaperone protein dnaJ 49, transcript variant X3"
XM_031551911.1	" putative disease resistance protein RGA1, transcript variant X10"
XM_031551912.1	" putative disease resistance protein RGA1, transcript variant X11"
XM_031551913.1	" putative disease resistance protein RGA1, transcript variant X12"
XM_031551914.1	" putative disease resistance protein RGA1, transcript variant X13"
XM_031551915.1	" putative disease resistance protein RGA1, transcript variant X14"
XM_031551916.1	" putative disease resistance protein RGA1, transcript variant X15"
XM_031551917.1	" putative disease resistance protein RGA1, transcript variant X16"
XM_031551918.1	" putative disease resistance protein RGA1, transcript variant X17"
XM_031551919.1	" putative disease resistance protein RGA1, transcript variant X18"
XM_031551920.1	" putative disease resistance protein RGA1, transcript variant X19"
XM_031551921.1	" putative disease resistance protein RGA1, transcript variant X20"
XM_031551922.1	" putative disease resistance protein RGA1, transcript variant X21"
XM_031551923.1	" putative disease resistance protein RGA1, transcript variant X22"
XM_031551924.1	" putative disease resistance protein RGA1, transcript variant X23"
XM_031551925.1	" putative disease resistance protein RGA1, transcript variant X24"
XM_031551926.1	 uncharacterized LOC116216015
XM_031551927.1	" putative disease resistance protein RGA1, transcript variant X25"
XM_031551928.1	" putative disease resistance protein RGA1, transcript variant X26"
XM_031551929.1	" putative disease resistance protein RGA1, transcript variant X27"
XM_031551930.1	" uncharacterized protein C57A7.06, transcript variant X1"
XM_031551931.1	" uncharacterized protein C57A7.06, transcript variant X2"
XM_031551932.1	" gamma-tubulin complex component 4-like, transcript variant X1"
XM_031551933.1	" gamma-tubulin complex component 4-like, transcript variant X2"
XM_031551934.1	 probable protein S-acyltransferase 19
XM_031551935.1	" COBRA-like protein 7, transcript variant X1"
XM_031551936.1	" COBRA-like protein 7, transcript variant X2"
XM_031551937.1	 probable ethylene response sensor 1
XM_031551938.1	 uncharacterized LOC116216022
XM_031551939.1	" jasmonoyl--L-amino acid synthetase JAR4-like, transcript variant X1"
XM_031551940.1	" probable galacturonosyltransferase-like 7, transcript variant X1"
XM_031551941.1	" probable galacturonosyltransferase-like 7, transcript variant X2"
XM_031551942.1	 epoxide hydrolase A-like
XM_031551943.1	 putative disease resistance protein RGA3
XM_031551944.1	 RING-H2 finger protein ATL64-like
XM_031551945.1	 U1 small nuclear ribonucleoprotein A-like
XM_031551946.1	 60S ribosomal protein L19-1-like
XM_031551947.1	" jasmonoyl--L-amino acid synthetase JAR4-like, transcript variant X2"
XM_031551948.1	 proline-rich protein 1-like
XM_031551949.1	" dnaJ homolog subfamily B member 6-like, transcript variant X1"
XM_031551950.1	" dnaJ homolog subfamily B member 6-like, transcript variant X2"
XM_031551951.1	 60S ribosomal protein L18-like
XM_031551952.1	" protein SENESCENCE-ASSOCIATED GENE 21, mitochondrial-like"
XM_031551953.1	 indole-3-acetic acid-induced protein ARG2-like
XM_031551954.1	 formin-like protein 3
XM_031551955.1	" probably inactive leucine-rich repeat receptor-like protein kinase At5g48380, transcript variant X1"
XM_031551956.1	" probably inactive leucine-rich repeat receptor-like protein kinase At5g48380, transcript variant X2"
XM_031551957.1	" probably inactive leucine-rich repeat receptor-like protein kinase At5g48380, transcript variant X3"
XM_031551958.1	 UDP-glycosyltransferase 74F2-like
XM_031551959.1	 ASC1-like protein 1
XM_031551960.1	 protein NRT1/ PTR FAMILY 5.4
XM_031551961.1	 cucumisin-like
XM_031551962.1	 U-box domain-containing protein 38-like
XM_031551963.1	" ankyrin repeat and SAM domain-containing protein 6-like, transcript variant X1"
XM_031551964.1	" ankyrin repeat and SAM domain-containing protein 6-like, transcript variant X2"
XM_031551965.1	" ankyrin repeat and SAM domain-containing protein 6-like, transcript variant X3"
XM_031551966.1	 uncharacterized LOC116216046
XM_031551967.1	 wall-associated receptor kinase 5-like
XM_031551968.1	 putative wall-associated receptor kinase-like 16
XM_031551969.1	 uncharacterized LOC116216050
XM_031551970.1	 thermospermine synthase ACAULIS5-like
XM_031551971.1	" DDB1- and CUL4-associated factor homolog 1-like, transcript variant X1"
XM_031551972.1	" DDB1- and CUL4-associated factor homolog 1-like, transcript variant X2"
XM_031551973.1	" enoyl-CoA delta isomerase 1, peroxisomal-like"
XM_031551974.1	 transcription repressor OFP12-like
XM_031551975.1	 dof zinc finger protein DOF3.6-like
XM_031551976.1	 uncharacterized LOC116216055
XM_031551977.1	 uncharacterized LOC116216059
XM_031551978.1	 proline-rich receptor-like protein kinase PERK15
XM_031551979.1	 signal recognition particle 19 kDa protein
XM_031551980.1	 myb-related protein 306-like
XM_031551981.1	 auxin-binding protein ABP19a-like
XM_031551982.1	 dof zinc finger protein DOF5.6
XM_031551983.1	 aquaporin TIP1-3-like
XM_031551984.1	" F-box protein At2g27310-like, transcript variant X1"
XM_031551985.1	" F-box protein At2g27310-like, transcript variant X2"
XM_031551986.1	 uncharacterized LOC116216068
XM_031551987.1	" adenine phosphoribosyltransferase 3-like, transcript variant X4"
XM_031551988.1	" DEAD-box ATP-dependent RNA helicase 47, mitochondrial, transcript variant X1"
XM_031551989.1	 uncharacterized LOC116216069
XM_031551990.1	 copper transporter 5
XM_031551991.1	 pentatricopeptide repeat-containing protein At1g74630-like
XM_031551992.1	 protein LIFEGUARD 2-like
XM_031551993.1	" phosphoribosylglycinamide formyltransferase, chloroplastic-like"
XM_031551994.1	 IAA-amino acid hydrolase ILR1-like 6
XM_031551995.1	 E3 ubiquitin-protein ligase MARCH8-like
XM_031551996.1	" DEAD-box ATP-dependent RNA helicase 47, mitochondrial, transcript variant X2"
XM_031551997.1	 probable WRKY transcription factor 40
XM_031551998.1	" uncharacterized LOC116216077, transcript variant X1"
XM_031551999.1	" uncharacterized LOC116216077, transcript variant X2"
XM_031552000.1	" uncharacterized LOC116216077, transcript variant X3"
XM_031552001.1	" uncharacterized hydrolase YNR064C, transcript variant X1"
XM_031552002.1	" uncharacterized hydrolase YNR064C, transcript variant X2"
XM_031552003.1	" uncharacterized hydrolase YNR064C, transcript variant X3"
XM_031552004.1	" uncharacterized hydrolase YNR064C, transcript variant X4"
XM_031552005.1	" uncharacterized hydrolase YNR064C, transcript variant X5"
XM_031552006.1	 uncharacterized LOC116216081
XM_031552007.1	 glutaredoxin-C1-like
XM_031552008.1	 CASP-like protein 4A4
XM_031552009.1	 cyclin-dependent protein kinase inhibitor SIM-like
XM_031552011.1	 uncharacterized LOC116216086
XM_031552012.1	" 7-deoxyloganetin glucosyltransferase-like, transcript variant X1"
XM_031552013.1	" 7-deoxyloganetin glucosyltransferase-like, transcript variant X2"
XM_031552014.1	" 7-deoxyloganetin glucosyltransferase-like, transcript variant X1"
XM_031552015.1	" 7-deoxyloganetin glucosyltransferase-like, transcript variant X2"
XM_031552016.1	" 7-deoxyloganetin glucosyltransferase-like, transcript variant X3"
XM_031552017.1	 BTB/POZ domain-containing protein At3g56230-like
XM_031552018.1	" uncharacterized LOC116216091, transcript variant X1"
XM_031552019.1	 E3 ubiquitin-protein ligase RFI2
XM_031552020.1	" uncharacterized LOC116216091, transcript variant X2"
XM_031552021.1	" uncharacterized LOC116216091, transcript variant X3"
XM_031552022.1	 adenine/guanine permease AZG2
XM_031552023.1	" B3 domain-containing protein Os02g0598200-like, transcript variant X1"
XM_031552024.1	" B3 domain-containing protein Os02g0598200-like, transcript variant X2"
XM_031552025.1	" B3 domain-containing protein Os02g0598200-like, transcript variant X3"
XM_031552026.1	 putative ripening-related protein 1
XR_004151949.1	 uncharacterized LOC116186953
XR_004151950.1	" probable 28S rRNA (cytosine-C(5))-methyltransferase, transcript variant X2"
XR_004151951.1	 uncharacterized LOC116186957
XR_004151952.1	" uncharacterized LOC116186966, transcript variant X1"
XR_004151953.1	" uncharacterized LOC116186966, transcript variant X2"
XR_004151954.1	 uncharacterized LOC116186970
XR_004151955.1	 uncharacterized LOC116186974
XR_004151956.1	 uncharacterized LOC116186983
XR_004151957.1	 uncharacterized LOC116186993
XR_004151958.1	 uncharacterized LOC116186996
XR_004151959.1	" uncharacterized protein At4g33100, transcript variant X3"
XR_004151960.1	" uncharacterized protein At4g33100, transcript variant X4"
XR_004151961.1	 uncharacterized LOC116187012
